Sample,State,Locality ,Cluster1,Cluster2,Subspecies ,Latitude ,Longitude
AM010,QLD,Mil,1,0,H. a. armigera,-21.9,149.8833333
AM015,QLD,Ing,0,1,H. a. conferta,-33.83333333,148.6833333
AM021,QLD,Cay,0,1,H. a. conferta,-13.98333333,143.55
AM023,QLD,Cay,0,1,H. a. conferta,-13.98333333,143.55
AM026,QLD,Mar,0,1,H. a. conferta,-17,145.4333333
AM027,QLD,Cay,0,1,H. a. conferta,-17,145.4333333
AM028,NT,Ber,1,0,H. a. armigera,-13.98333333,143.55
AM029,NT,Lar,1,0,H. a. armigera,-12.43333333,130.9166667
AM030,NT,Ber,1,0,H. a. armigera,-12.46666667,130.8333333
AM032,WA,Kim,1,0,H. a. armigera,-12.61666667,131.25
AM034,WA,Kim,0,1,H. a. conferta,-15.65,128.7
AM055,NT,Gro,0,1,H. a. conferta,-15.5,145.25
AM057,NT,Nab,0,1,H. a. conferta,-12.316667,133.316667
AM062,QLD,Too,0,1,H. a. conferta,-17.26666667,145.4833333
AM072,NT,Hud,1,0,H. a. armigera,-15.96,129.55
AM073,QLD,Cun,0,1,H. a. conferta,-12.61,131.1
AM074,QLD,Cun,0,1,H. a. conferta,-28.35,145.75
AM076,QLD,Hea,0,1,H. a. conferta,-12.66666667,142.6833333
AM077,QLD,Hea,0,1,H. a. conferta,-11.75,142.5833333
AM078,QLD,Rok,0,1,H. a. conferta,-11.68333333,142.7
AM080,QLD,Bad,0,1,H. a. conferta,-12.666667,142.666667
AM081,QLD,Bad,1,0,H. a. armigera,-12.66666667,142.6666667
AM084,QLD,Hea,0,1,H. a. conferta,-15.18333333,143.8666667
AM086,QLD,Hea,1,0,H. a. armigera,-11.75,142.5833333
AM087,QLD,Mis,0,1,H. a. conferta,-11.75,142.58
AM089,WA,Mip,0,1,H. a. conferta,-14.86666667,125.8333333
CA001,NSW,Nar,0,1,H. a. conferta,30.3324,149.7812
CA006,NSW,Nar,1,0,H. a. armigera,30.3324,149.7812
CA010,NSW,Nar,0,1,H. a. conferta,30.3324,149.7812
CA013,NSW,Nar,0,1,H. a. conferta,30.3324,149.7812
CA014,NSW,Nar,0,1,H. a. conferta,30.3324,149.7812