Sample.ID,Country.of.Origin,State,Locality,header,Percent.Mitogenome.Coverage,Year.of.collection,Latitude,Longitude,5% dataset,65% dataset,COI dataset
AM001,AUS,ACT,Blm,AUS_AM001,12.47570929,1953,-35.26666667,149.1,,,
AM002,AUS,ACT,Blm,AUS_AM002,44.85684674,1955,-35.26666667,149.1,,,
AM003,AUS,ACT,Blm,AUS_AM003,6.451612903,1958,-35.26666667,149.1,,,
AM004,AUS,ACT,Blm,AUS_AM004,40.45213111,NA,NA,NA,,,
AM005,AUS,ACT,Blm,AUS_AM005,13.71291618,1960,-35.26666667,149.1,,,
AM006,AUS,ACT,Blm,AUS_AM006,25.65099106,1965,-35.26666667,149.1,,,
AM007,AUS,QLD,Ayr,AUS_AM007,15.70799326,1953,-19.56666667,147.4,,,
AM009,AUS,QLD,Bun,AUS_AM009,32.69853608,1954,-24.86666667,152.35,,,
AM010,AUS,QLD,Marl,AUS_AM010,28.43632595,1955,-21.9,149.8833333,,,
AM011,AUS,QLD,Mil,AUS_AM011,69.56211945,1957,-27.88333333,151.2666667,,,
AM012,AUS,QLD,NA,AUS_AM012,0,1957,-27.86666667,151.2666667,,,
AM013,AUS,QLD,Bri,AUS_AM013,45.42039124,1958,-27.46666667,153.0333333,,,
AM014,AUS,QLD,Roc,AUS_AM014,5.382821609,1958,-23.36666667,150.5166667,,,
AM015,AUS,QLD,Cow,AUS_AM015,15.95413914,1960,-33.83333333,148.6833333,,,
AM016,AUS,QLD,Ing,AUS_AM016,79.69944293,1961,-18.65,146.1666667,,,
AM017,AUS,QLD,Ing,AUS_AM017,50.5635445,1961,-18.65,146.1666667,,,
AM018,AUS,QLD,Ing,AUS_AM018,60.04663817,1961,-18.65,146.1666667,,,
AM019,AUS,QLD,Cay,AUS_AM019,50.66070735,1961,-13.98333333,143.55,,,
AM020,AUS,QLD,Cay,AUS_AM020,44.9863972,1961,-13.98333333,143.55,,,
AM021,AUS,QLD,Cay,AUS_AM021,54.99417023,1962,-13.98333333,143.55,,,
AM022,AUS,QLD,Cay,AUS_AM022,74.01217774,1962,-13.98333333,143.55,,,
AM023,AUS,QLD,Cay,AUS_AM023,43.94999352,1962,-13.98333333,143.55,,,
AM024,AUS,QLD,Cay,AUS_AM024,94.14431921,1962,-13.98333333,143.55,,,
AM025,AUS,QLD,Cay,AUS_AM025,52.75294727,1962,-13.98333333,143.55,,,
AM026,AUS,QLD,Mar,AUS_AM026,45.3815261,1962,-17,145.4333333,,,
AM027,AUS,QLD,Mar,AUS_AM027,73.99274517,1963,-17,145.4333333,,,
AM028,AUS,QLD,Cay,AUS_AM028,87.29109988,1963,-13.98333333,143.55,,,
AM029,AUS,NT,Ber,AUS_AM029,73.54579609,1956,-12.43333333,130.9166667,,,
AM030,AUS,NT,Lar,AUS_AM030,68.9856199,1956,-12.46666667,130.8333333,,,
AM031,AUS,NT,Ber,AUS_AM031,89.69426091,1956,-12.43333333,130.9166667,,,
AM032,AUS,NT,Hud,AUS_AM032,15.0991061,1959,-12.61666667,131.25,,,
AM033,AUS,WA,Kim,AUS_AM033,66.47234098,1956,-15.65,128.7,,,
AM034,AUS,WA,Kim,AUS_AM034,40.0570022,1956,-15.65,128.7,,,
AM035,AUS,WA,Kim,AUS_AM035,78.17722503,1957,-15.65,128.7,,,
AM036,AUS,WA,Kim,AUS_AM036,30.48322322,1957,-15.65,128.7,,,
AM037,AUS,WA,Kim,AUS_AM037,19.26415339,1957,-15.65,128.7,,,
AM038,AUS,WA,Krs,AUS_AM038,11.64658635,1957,-15.65,128.7,,,
AM039,AUS,WA,Kun,AUS_AM039,40.31610312,1962,-15.76666667,128.7333333,,,
AM040,AUS,WA,Kun,AUS_AM040,6.484000518,1969,-15.76666667,128.7333333,,,
AM041,AUS,WA,Kun,AUS_AM041,13.46677031,1969,-15.76666667,128.7333333,,,
AM042,AUS,WA,Kun,AUS_AM042,45.18720041,1969,-15.76666667,128.7333333,,,
AM043,AUS,WA,Kim,AUS_AM043,25.2105195,1969,-15.65,128.7,,,
AM044,AUS,WA,Kim,AUS_AM044,18.68765384,1970,-15.65,128.7,,,
AM045,AUS,NSW,Que,AUS_AM045,36.2546962,1973,-35.35,149.2333333,,,
AM046,AUS,NSW,NA,AUS_AM046,0,1973,-35.33333333,149.25,,,
AM047,AUS,NSW,Wil,AUS_AM047,42.816427,1976,-34.26666667,150.7333333,,,
AM048,AUS,NSW,Sac,AUS_AM048,44.07306646,NA,NA,NA,,,
AM049,AUS,NT,Vrd,AUS_AM049,27.49708511,1973,-16.41666667,130.9666667,,,
AM050,AUS,NT,Kat,AUS_AM050,9.917087706,1973,-14.46666667,132.2666667,,,
AM051,AUS,NT,Mac,AUS_AM051,45.72483482,1973,-12.58333333,132.8666667,,,
AM052,AUS,NT,Vrd,AUS_AM052,44.52649307,1973,-16.4,131.0166667,,,
AM053,AUS,QLD,Mib,AUS_AM053,20.88353414,1977,-17.86666667,146.1,,,
AM054,AUS,QLD,Coo,AUS_AM054,36.23526364,1977,-15.46666667,145.2166667,,,
AM055,AUS,QLD,Coo,AUS_AM055,23.80489701,1977,-15.5,145.25,,,
AM056,AUS,NT,Gro,AUS_AM056,90.43269854,1982,-14.03333333,136.6,,,
AM057,AUS,NT,NA,AUS_AM057,0,1982,-12.31666667,133.3166667,,,
AM058,AUS,NT,Nab,AUS_AM058,79.66705532,1982,-12.31666667,133.3166667,,,
AM059,AUS,QLD,NA,AUS_AM059,0,1980,-16.66666667,145.6333333,,,
AM060,AUS,QLD,Ath,AUS_AM060,37.0708641,1982,-17.26666667,145.4833333,,,
AM061,AUS,QLD,Ath,AUS_AM061,50.61536468,1982,-17.26666667,145.4833333,,,
AM062,AUS,QLD,Ath,AUS_AM062,50.61536468,1982,-17.26666667,145.4833333,,,
AM063,AUS,QLD,Too,AUS_AM063,83.65720948,1983,-27.55,151.9833333,,,
AM064,AUS,QLD,Lbr,AUS_AM064,19.74349009,1984,-27.35,151.1,,,
AM065,AUS,QLD,Lbr,AUS_AM065,26.64205208,1985,-27.35,151.1,,,
AM066,AUS,QLD,Too,AUS_AM066,20.00906853,1985,-27.55,151.9833333,,,
AM067,AUS,NT,Drp,AUS_AM067,49.68260137,1991,-12.35,130.8666667,,,
AM068,AUS,NT,Mat,AUS_AM068,8.375437233,NA,NA,NA,,,
AM069,AUS,NT,Tic,AUS_AM069,22.2243814,NA,NA,NA,,,
AM070,AUS,NT,Pin,AUS_AM070,18.05285659,NA,NA,NA,,,
AM071,AUS,NT,Pin,AUS_AM071,29.31079155,NA,NA,NA,,,
AM073,AUS,NT,Hud,AUS_AM073,83.17787278,NA,NA,NA,,,
AM074,AUS,QLD,Cun,AUS_AM074,86.18992097,1990,-28.35,145.75,,,
AM075,AUS,QLD,Cun,AUS_AM075,74.23241353,1990,-11.68333333,142.7,,,
AM076,AUS,QLD,Bad,AUS_AM076,39.05946366,1992,-12.66666667,142.6833333,,,
AM077,AUS,QLD,Hea,AUS_AM077,65.64969556,1993,-11.75,142.5833333,,,
AM078,AUS,QLD,Hea,AUS_AM078,86.51379712,1993,-11.68333333,142.7,,,
AM079,AUS,QLD,Rok,AUS_AM079,84.15597875,1993,-13.66666667,142.6666667,,,
AM080,AUS,QLD,NA,AUS_AM080,0,1993,-12.66666667,142.6666667,,,
AM081,AUS,QLD,Bad,AUS_AM081,80.07513927,1993,-12.66666667,142.6666667,,,
AM082,AUS,QLD,Bad,AUS_AM082,80.42492551,1993,-12.66666667,142.6666667,,,
AM083,AUS,QLD,NA,AUS_AM083,18.6291,1993,-14.68333333,142.2666667,,,
AM084,AUS,QLD,Har,AUS_AM084,7.125275295,1993,-15.18333333,143.8666667,,,
AM085,AUS,QLD,Hea,AUS_AM085,89.97927193,1993,-11.75,142.5833333,,,
AM086,AUS,QLD,Hea,AUS_AM086,31.3512113,1993,-11.75,142.5833333,,,
AM087,AUS,QLD,Hea,AUS_AM087,83.61186682,NA,NA,NA,,,
AM088,AUS,QLD,Mis,AUS_AM088,89.81085633,1995,-27.93333333,145.7833333,,,
AM089,AUS,WA,Mip,AUS_AM089,35.74944941,1988,-14.86666667,125.8333333,,,
AM090,AUS,WA,Mip,AUS_AM090,77.64606814,1988,-14.86666667,125.8333333,,,
AM091,AUS,WA,NA,AUS_AM091,49.7557,1988,-15,125.35,,,
AM092,AUS,WA,Kun,AUS_AM092,13.0716414,NA,NA,NA,,,
AM093,AUS,WA,Krs,AUS_AM093,13.95258453,NA,NA,NA,,,
AM095,AUS,WA,Krs,AUS_AM095,30.86539707,NA,NA,NA,,,
AM096,AUS,WA,Krs,AUS_AM096,7.22243814,NA,NA,NA,,,
AM097,AUS,WA,Krs,AUS_AM097,23.87614976,NA,NA,NA,,,
AM099,AUS,NSW,New,AUS_AM099,47.37012566,1961,-32.93333333,151.7666667,,,
AM100,AUS,WA,Krs,AUS_AM100,10.07902578,NA,NA,NA,,,
AM101,AUS,QLD,Mav,AUS_AM101,61.56885607,1962,-19.86666667,146.6833333,,,
AM102,AUS,QLD,Mav,AUS_AM102,20.41067496,1962,-19.86666667,146.6833333,,,
AM103,AUS,QLD,Mav,AUS_AM103,26.0007773,1962,-19.86666667,146.6833333,,,
AM104,AUS,QLD,Mav,AUS_AM104,30.26946496,1962,-19.86666667,146.6833333,,,
AM105,AUS,WA,Kun,AUS_AM105,37.8028242,NA,NA,NA,,,
AM106,AUS,WA,Kun,AUS_AM106,32.80217645,NA,NA,NA,,,
AM107,AUS,WA,Kun,AUS_AM107,30.86539707,NA,NA,NA,,,
AM108,AUS,WA,Kun,AUS_AM108,27.16025392,NA,NA,NA,,,
AM109,AUS,WA,Kun,AUS_AM109,27.26389429,NA,NA,NA,,,
AM110,AUS,WA,Kun,AUS_AM110,49.94170229,NA,NA,NA,,,
AM111,AUS,WA,Kun,AUS_AM111,25.81940666,NA,NA,NA,,,
AM112,AUS,WA,Kun,AUS_AM112,35.24420262,NA,NA,NA,,,
AM113,AUS,WA,Kun,AUS_AM113,32.91877186,NA,NA,NA,,,
AM114,AUS,NSW,Ryd,AUS_AM114,18.85606944,1964,-33.81666667,151.0333333,,,
AM115,AUS,NSW,Win,AUS_AM115,32.27749709,1964,-33.6,150.8,,,
AM116,AUS,NSW,Win,AUS_AM116,37.44656044,1964,-33.6,150.8,,,
AM117,AUS,NSW,Mya,AUS_AM117,24.28423371,1965,-29.65,150.3166667,,,
AM118,AUS,QLD,NA,AUS_AM118,0,1965,-17.26666667,145.4833333,,,
AM119,AUS,QLD,Ath,AUS_AM119,52.57157663,1966,-17.26666667,145.4833333,,,
AM120,AUS,NSW,Nars,AUS_AM120,30.21764477,1968,-30.2,149.6,,,
AM121,AUS,VIC,Reh,AUS_AM121,42.78403938,1973,-37.38333333,145.1,,,
AM123,AUS,WA,Kun,AUS_AM123,32.54955305,NA,NA,NA,,,
AM125,AUS,WA,Kun,AUS_AM125,7.073455111,NA,NA,NA,,,
AM126,AUS,WA,Kun,AUS_AM126,18.65526623,NA,NA,NA,,,
AM127,AUS,WA,Kun,AUS_AM127,32.99650214,NA,NA,NA,,,
AM128,AUS,WA,Kun,AUS_AM128,60.79803083,NA,NA,NA,,,
AM130,AUS,WA,Kun,AUS_AM130,20.79284881,NA,NA,NA,,,
AM131,AUS,WA,Kun,AUS_AM131,22.23085892,NA,NA,NA,,,
AM132,AUS,WA,Kun,AUS_AM132,27.43878741,NA,NA,NA,,,
AM133,AUS,NSW,Nars,AUS_AM133,17.98160383,1969,-30.2,149.6,,,
AM134,AUS,NSW,NA,AUS_AM134,0,1969,-32.23333333,148.25,,,
AM135,AUS,NSW,Win,AUS_AM135,10.11789092,1969,-33.6,150.8,,,
AM136,AUS,QLD,Gat,AUS_AM136,28.49462366,1969,-27.56666667,152.2833333,,,
AM137,AUS,QLD,Gat,AUS_AM137,20.75398368,1969,-27.56666667,152.2833333,,,
AM138,AUS,QLD,Gat,AUS_AM138,36.11866822,1969,-27.56666667,152.2833333,,,
AM139,AUS,WA,Kun,AUS_AM139,20.74750615,NA,NA,NA,,,
AM140,AUS,NSW,NA,AUS_AM140,0,1970,-28.83333333,153.4333333,,,
AM141,AUS,QLD,Mar,AUS_AM141,12.534007,1970,-17,145.4333333,,,
AM142,AUS,QLD,Mar,AUS_AM142,10.96644643,1970,-17,145.4333333,,,
AM143,AUS,QLD,Mar,AUS_AM143,32.42648011,1970,-17,145.4333333,,,
AM144,AUS,QLD,Mar,AUS_AM144,12.44332167,1970,-17,145.4333333,,,
AM145,AUS,NSW,Nars,AUS_AM145,10.6749579,1971,-30.2,149.6,,,
AM146,AUS,QLD,Ath,AUS_AM146,8.343049618,1972,-17.26666667,145.4833333,,,
AM147,AUS,NSW,Ryd,AUS_AM147,16.38165565,1974,-33.81666667,151.0333333,,,
AM148,AUS,NSW,NA,AUS_AM148,0,1974,-33.81666667,151.0333333,,,
AM149,AUS,NSW,Ryd,AUS_AM149,10.01425055,1974,-33.81666667,151.0333333,,,
AM150,AUS,NSW,Ryd,AUS_AM150,7.636999611,1974,-33.81666667,151.0333333,,,
AM151,AUS,NSW,Ryd,AUS_AM151,24.53037958,1974,-33.81666667,151.0333333,,,
AM152,AUS,NSW,Ryd,AUS_AM152,15.02785335,1974,-33.81666667,151.0333333,,,
AM153,AUS,NSW,Ryd,AUS_AM153,14.41248866,1974,-33.81666667,151.0333333,,,
AM154,AUS,NSW,Ryd,AUS_AM154,6.496955564,1974,-33.81666667,151.0333333,,,
AM155,AUS,NSW,NA,AUS_AM155,0,1975,-28.73333333,153.5,,,
AM156,AUS,NSW,Ryd,AUS_AM156,10.5907501,1975,-33.81666667,151.0333333,,,
AM157,AUS,QLD,Bri,AUS_AM157,20.24225936,1976,-27.46666667,153.0333333,,,
AM158,AUS,QLD,Bri,AUS_AM158,8.148723928,1977,-27.46666667,153.0333333,,,
AM159,AUS,QLD,Bri,AUS_AM159,14.96955564,1977,-27.46666667,153.0333333,,,
AM160,AUS,QLD,NA,AUS_AM160,0,1977,-27.46666667,153.0333333,,,
AM161,AUS,WA,Med,AUS_AM161,18.169452,NA,NA,NA,,,
AM164,AUS,WA,Spe,AUS_AM164,5.337478948,NA,NA,NA,,,
AM165,AUS,WA,Spe,AUS_AM165,16.18085244,NA,NA,NA,,,
AM166,AUS,WA,Spe,AUS_AM166,17.59942998,NA,NA,NA,,,
AM167,AUS,WA,Spe,AUS_AM167,13.18823682,NA,NA,NA,,,
AM169,AUS,WA,Spe,AUS_AM169,21.58958414,NA,NA,NA,,,
AM170,AUS,NSW,Ryd,AUS_AM170,6.943904651,1978,-33.81666667,151.0333333,,,
AM171,AUS,WA,Car,AUS_AM171,13.81007903,NA,NA,NA,,,
AM172,AUS,WA,Car,AUS_AM172,8.504987693,NA,NA,NA,,,
AM173,AUS,WA,Car,AUS_AM173,8.297706957,NA,NA,NA,,,
AM174,AUS,WA,Car,AUS_AM174,34.78429848,NA,NA,NA,,,
AM176,AUS,WA,Car,AUS_AM176,10.51301982,NA,NA,NA,,,
AM177,AUS,WA,Car,AUS_AM177,34.15597875,NA,NA,NA,,,
AM178,AUS,WA,Car,AUS_AM178,23.99274517,NA,NA,NA,,,
AM179,AUS,WA,Car,AUS_AM179,55.92693354,NA,NA,NA,,,
AM180,AUS,WA,Car,AUS_AM180,36.61743749,NA,NA,NA,,,
AM182,AUS,WA,Med,AUS_AM182,17.37271667,NA,NA,NA,,,
AM184,AUS,WA,Med,AUS_AM184,35.85308978,NA,NA,NA,,,
AM185,AUS,WA,Med,AUS_AM185,48.34823164,NA,NA,NA,,,
AM186,AUS,WA,Med,AUS_AM186,39.17605908,NA,NA,NA,,,
AM187,AUS,WA,Med,AUS_AM187,5.000647752,NA,NA,NA,,,
AM188,AUS,QLD,Bon,AUS_AM188,57.9997409,1979,-27.56666667,151.45,,,
AM189,AUS,QLD,Bon,AUS_AM189,8.725223475,1979,-27.56666667,151.45,,,
AM190,AUS,QLD,Bon,AUS_AM190,30.28242,1979,-27.56666667,151.45,,,
AM191,AUS,QLD,Bri,AUS_AM191,13.69996113,1979,-27.46666667,153.0333333,,,
AM192,AUS,QLD,Nor,AUS_AM192,16.07073455,1979,-27.55,151.3833333,,,
AM193,AUS,VIC,,AUS_AM193,5.764995466,NA,NA,NA,,,
AM194,AUS,QLD,NA,AUS_AM194,0,1979,-27.55,151.3833333,,,
AM195,AUS,QLD,NA,AUS_AM195,0,1979,-27.66666667,152.2333333,,,
AM196,AUS,QLD,Tec,AUS_AM196,7.773027594,1979,-27.66666667,152.2333333,,,
AM197,AUS,QLD,Tec,AUS_AM197,6.484000518,1979,-27.66666667,152.2333333,,,
AM198,AUS,NSW,Lee,AUS_AM198,24.78300298,1981,-34.6,146.35,,,
AM199,AUS,NSW,Hay,AUS_AM199,11.35509781,1982,-34.5,144.85,,,
AM200,AUS,QLD,NA,AUS_AM200,0,1985,-27.35,151.1,,,
AM201,AUS,QLD,Lbr,AUS_AM201,5.207928488,1985,-27.35,151.1,,,
AM202,AUS,QLD,Lbr,AUS_AM202,16.09664464,1985,-27.35,151.1,,,
AM203,AUS,QLD,Lbr,AUS_AM203,54.4500583,1985,-27.35,151.1,,,
AM204,AUS,QLD,Lbr,AUS_AM204,21.11672496,1985,-27.35,151.1,,,
AM205,AUS,QLD,Lbr,AUS_AM205,8.874206503,1985,-27.35,151.1,,,
AM206,AUS,QLD,Mti,AUS_AM206,19.27063091,1987,-20.73333333,139.4833333,,,
AM207,AUS,QLD,Mti,AUS_AM207,20.89001166,1987,-20.73333333,139.4833333,,,
AM208,AUS,QLD,Mti,AUS_AM208,33.96813059,1987,-20.73333333,139.4833333,,,
AM209,AUS,QLD,NA,AUS_AM209,0,1989,-19.56666667,147.4,,,
AM210,AUS,QLD,NA,AUS_AM210,0,1989,-19.56666667,147.4,,,
AM211,AUS,QLD,NA,AUS_AM211,0,1989,-19.56666667,147.4,,,
AM213,AUS,QLD,NA,AUS_AM213,0,1990,-27.88333333,151.2666667,,,
AM214,AUS,QLD,Mti,AUS_AM214,34.44746729,1990,-27.88333333,151.2666667,,,
AM215,AUS,QLD,Mti,AUS_AM215,42.44073066,1990,-27.88333333,151.2666667,,,
AM216,AUS,QLD,NA,AUS_AM216,0,1990,-27.88333333,151.2666667,,,
AM217,AUS,QLD,Mti,AUS_AM217,6.781966576,1990,-27.88333333,151.2666667,,,
AM218,AUS,QLD,NA,AUS_AM218,0,1990,-27.88333333,151.2666667,,,
AM219,AUS,NSW,NA,AUS_AM219,0,1993,-30.83333333,152.9333333,,,
AM220,AUS,NSW,NA,AUS_AM220,0,2015,-30.2,149.6,,,
AM221,AUS,NSW,Nars,AUS_AM221,9.211037699,2015,-30.2,149.6,,,
AM222,AUS,NSW,Nars,AUS_AM222,7.753595025,2015,-30.2,149.6,,,
AM223,AUS,NSW,NA,AUS_AM223,0,2015,-30.2,149.6,,,
AM224,AUS,NSW,NA,AUS_AM224,0,2015,-30.2,149.6,,,
AM225,AUS,NSW,NA,AUS_AM225,0,2015,-30.2,149.6,,,
AM226,AUS,NSW,NA,AUS_AM226,0,2015,-30.2,149.6,,,
AM227,AUS,NSW,Nars,AUS_AM227,16.80917217,2015,-30.2,149.6,,,
AM228,AUS,NSW,Nars,AUS_AM228,8.822386319,2015,-30.2,149.6,,,
AM229,AUS,NSW,Nars,AUS_AM229,17.17191346,2015,-30.2,149.6,,,
AM230,AUS,NSW,Nars,AUS_AM230,8.751133567,2015,-30.2,149.6,,,
AM231,AUS,NSW,Nars,AUS_AM231,8.083948698,2015,-30.2,149.6,,,
AM232,AUS,NSW,NA,AUS_AM232,0,2015,-30.2,149.6,,,
AM233,AUS,NSW,Nars,AUS_AM233,10.23448633,2015,-30.2,149.6,,,
AM234,AUS,NSW,NA,AUS_AM234,0,2015,-30.2,149.6,,,
AM235,AUS,QLD,Ath,AUS_AM235,31.17631818,1903,-17.26666667,145.4833333,,,
AM236,AUS,QLD,NA,AUS_AM236,0,1907,-27.46666667,153.0333333,,,
AM237,AUS,NSW,Syd,AUS_AM237,14.28941573,1910,-33.88333333,151.2166667,,,
AM239,AUS,NSW,NA,AUS_AM239,0,1914,-33.88333333,151.2166667,,,
AM240,AUS,NSW,NA,AUS_AM240,0,1914,-33.88333333,151.2166667,,,
AM241,AUS,NSW,NA,AUS_AM241,0,1914,-33.88333333,151.2166667,,,
AM242,AUS,NSW,NA,AUS_AM242,0,1914,-33.88333333,151.2166667,,,
AM243,AUS,NSW,NA,AUS_AM243,0,1914,-33.88333333,151.2166667,,,
AM244,AUS,NSW,Jeb,AUS_AM244,54.51483353,1917,-35,150.75,,,
AM245,AUS,NSW,Jeb,AUS_AM245,32.96411452,1918,-35,150.75,,,
AM246,AUS,NSW,Jeb,AUS_AM246,16.78326208,1918,-35,150.75,,,
AM247,AUS,NSW,NA,AUS_AM247,0,1920,-35,150.75,,,
AM248,AUS,NSW,NA,AUS_AM248,0,1922,-33.88333333,151.2166667,,,
AM249,AUS,NSW,Ros,AUS_AM249,25.2105195,1923,-33.88333333,151.2166667,,,
AM250,AUS,NSW,Ros,AUS_AM250,27.0436585,1923,-33.88333333,151.2166667,,,
AM251,AUS,QLD,NA,AUS_AM251,0,1923,-17.08333333,145.7666667,,,
AM252,AUS,QLD,Med,AUS_AM252,8.906594118,1923,-17.08333333,145.7666667,,,
AM253,AUS,QLD,Med,AUS_AM253,8.414302371,1925,-17.08333333,145.7666667,,,
AM254,AUS,NSW,NA,AUS_AM254,0,1928,-28.75,153.4,,,
AM255,AUS,QLD,NA,AUS_AM255,0,1928,-27.56666667,152.2833333,,,
AM256,AUS,QLD,NA,AUS_AM256,0,1928,-27.88333333,151.2666667,,,
AM257,AUS,NSW,NA,AUS_AM257,0,1929,-28.75,153.4,,,
AM258,AUS,NSW,NA,AUS_AM258,0,1929,-33.4,151.35,,,
AM259,AUS,NSW,NA,AUS_AM259,0,1929,-33.4,151.35,,,
AM260,AUS,NSW,NA,AUS_AM260,0,1929,-33.88333333,151.2166667,,,
AM261,AUS,QLD,NA,AUS_AM261,0,1929,-17.08333333,145.7666667,,,
AM262,AUS,QLD,Med,AUS_AM262,19.76292266,1929,-17.08333333,145.7666667,,,
AM263,AUS,QLD,NA,AUS_AM263,0,1929,-17.08333333,145.7666667,,,
AM264,AUS,QLD,NA,AUS_AM264,0,1929,-17.08333333,145.7666667,,,
AM265,AUS,QLD,Ath,AUS_AM265,18.19536209,1932,-17.26666667,145.4833333,,,
AM266,AUS,QLD,NA,AUS_AM266,0,1937,-24.4,150.5166667,,,
AM267,AUS,QLD,NA,AUS_AM267,0,1937,-24.4,150.5166667,,,
AM268,AUS,QLD,NA,AUS_AM268,0,1937,-24.4,150.5166667,,,
AM269,AUS,QLD,NA,AUS_AM269,0,1939,-27.48333333,152.9833333,,,
AM270,AUS,QLD,NA,AUS_AM270,0,1944,-19.66666667,147.4166667,,,
AM271,AUS,QLD,Cai,AUS_AM271,11.40691799,1950,-16.91666667,145.7666667,,,
AM272,AUS,QLD,NA,AUS_AM272,0,1950,-16.91666667,145.7666667,,,
AM275,AUS,WA,Krs,AUS_AM275,8.984324394,NA,NA,NA,,,
AM276,AUS,LAB,NA,AUS_AM276,0,2015,-30.2,149.6,,,
AM277,AUS,QLD,NA,AUS_AM277,0,1959,-19.56666667,147.4,,,
AM278,AUS,QLD,NA,AUS_AM278,0,1959,-19.56666667,147.4,,,
AM279,AUS,QLD,NA,AUS_AM279,0,1959,-19.56666667,147.4,,,
CA001,SPA,AND,Sev,SPA_CA001,99.39759036,NA,NA,NA,,,
CA001,CHN,SHA,,CHN_CA001,51.26311698,NA,NA,NA,,,
CA001,BRA,MAG,,BRA_CA001,95.38800363,NA,NA,NA,,,
CA001,SEN,THI,Not,SEN_CA001,93.94999352,NA,NA,NA,,,
CA001,FRA,COR,,FRA_CA001,93.95647105,NA,NA,NA,,,
CA001,MAD,VAK,Ant,MAD_CA001,96.57986786,NA,NA,NA,,,
CA001,IND,PUN,Abo,IND_CA001,99.38463532,NA,NA,NA,,,
CA001,NZL,AUK,Auk,NZL_CA001,99.35872522,NA,NA,NA,,,
CA001,UGA,WAK,Kam,UGA_CA001,99.30042752,NA,NA,NA,,,
CA002,IND,,,IND_CA002,99.41054541,NA,NA,NA,,,
CA002,MAD,VAK,Ant,MAD_CA002,99.41054541,NA,NA,NA,,,
CA002,BRA,MAG,,BRA_CA002,99.29394999,NA,NA,NA,,,
CA002,NZL,AUK,Auk,NZL_CA002,97.95310273,NA,NA,NA,,,
CA002,CHN,SHA,,CHN_CA002,99.28747247,NA,NA,NA,,,
CA002,FRA,COR,,FRA_CA002,92.49255085,NA,NA,NA,,,
CA002,SEN,THI,Not,SEN_CA002,99.27451742,NA,NA,NA,,,
CA002,AUS,NSW,,AUS_CA002,97.40251328,NA,NA,NA,,,
CA002,UGA,WAK,Kam,UGA_CA002,98.08913072,NA,NA,NA,,,
CA003,AUS,NSW,,AUS_CA003,99.41054541,NA,NA,NA,,,
CA003,MAD,VAK,Ant,MAD_CA003,99.41054541,NA,NA,NA,,,
CA003,BRA,MAG,,BRA_CA003,99.29394999,NA,NA,NA,,,
CA003,NZL,AUK,Auk,NZL_CA003,99.28099495,NA,NA,NA,,,
CA003,CHN,SHA,,CHN_CA003,74.09638554,NA,NA,NA,,,
CA003,IND,MAH,Yav,IND_CA003,99.39759036,NA,NA,NA,,,
CA003,FRA,COR,,FRA_CA003,94.62365591,NA,NA,NA,,,
CA003,UGA,WAK,Kam,UGA_CA003,97.55797383,NA,NA,NA,,,
CA003,SEN,THI,Not,SEN_CA003,98.7887032,NA,NA,NA,,,
CA004,AUS,NSW,,AUS_CA004,99.3522477,NA,NA,NA,,,
CA004,IND,MAH,Yav,IND_CA004,99.41054541,NA,NA,NA,,,
CA004,MAD,VAK,Ant,MAD_CA004,99.41054541,NA,NA,NA,,,
CA004,BRA,MAG,,BRA_CA004,98.78222568,NA,NA,NA,,,
CA004,CHN,SHA,,CHN_CA004,99.3522477,NA,NA,NA,,,
CA004,UGA,WAK,Kam,UGA_CA004,95.80904262,NA,NA,NA,,,
CA005,AUS,NSW,,AUS_CA005,99.41054541,NA,NA,NA,,,
CA005,IND,MAH,Yav,IND_CA005,99.41054541,NA,NA,NA,,,
CA005,BRA,MAG,,BRA_CA005,98.96359632,NA,NA,NA,,,
CA006,AUS,NSW,,AUS_CA006,99.41054541,NA,NA,NA,,,
CA006,BRA,GOI,Pdg,BRA_CA006,98.15390595,NA,NA,NA,,,
CA007,BRA,MAG,,BRA_CA007,99.37168027,NA,NA,NA,,,
CA007,AUS,NSW,,AUS_CA007,99.37168027,NA,NA,NA,,,
CA008,AUS,NSW,,AUS_CA008,99.41054541,NA,NA,NA,,,
CA008,BRA,MAG,,BRA_CA008,99.41054541,NA,NA,NA,,,
CA009,AUS,NSW,,AUS_CA009,99.41054541,NA,NA,NA,,,
CA010,AUS,NSW,,AUS_CA010,99.40406788,NA,NA,NA,,,
CA011,AUS,NSW,,AUS_CA011,99.31338256,NA,NA,NA,,,
CA012,AUS,NSW,,AUS_CA012,99.41054541,NA,NA,NA,,,
CA013,AUS,NSW,,AUS_CA013,99.41054541,NA,NA,NA,,,
CA014,AUS,NSW,,AUS_CA014,99.38463532,NA,NA,NA,,,
CA015,AUS,NSW,,AUS_CA015,98.27050136,NA,NA,NA,,,
CA016,AUS,NSW,,AUS_CA016,99.41054541,NA,NA,NA,,,
CA017,AUS,NSW,,AUS_CA017,99.41054541,NA,NA,NA,,,
CA018,AUS,NSW,,AUS_CA018,99.41054541,NA,NA,NA,,,
CA019,AUS,NSW,,AUS_CA019,99.41054541,NA,NA,NA,,,